Cuenta,Region,Monto,Comentario
1100672022,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672023,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672028,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672029,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672033,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672037,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100673024,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100673030,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100673038,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674015,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674017,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674018,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674019,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674020,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674027,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674028,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674032,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674038,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674039,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675030,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675045,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
