Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100677016,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919566,8777126,24-05-2020,R05,499.00
1100682034,,AC_AJCRASE,CR,1,23019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919565,8780044,24-05-2020,R05,230.19
1100678036,,AC_AJCRASE,CR,1,98666.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919564,8780046,24-05-2020,R05,986.66
1100693005,,AC_AJCRASE,CR,1,35373.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919563,8769046,24-05-2020,R05,353.73
1100668062,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919574,8781100,24-05-2020,R05,499.00
1100668038,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919573,8771123,24-05-2020,R05,499.00
1100680014,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919562,8778088,24-05-2020,R05,399.01
1100686020,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919561,8780045,24-05-2020,R05,399.01
1100716009,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919572,8771124,24-05-2020,R05,229.00
1100675018,,AC_AJCRASE,CR,1,50019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919560,8772091,24-05-2020,R05,500.19
1100670039,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919571,8771125,24-05-2020,R05,399.01
1100677021,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919570,8777125,24-05-2020,R05,499.00
1100697005,,AC_AJCRASE,CR,1,23258.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919559,8772090,24-05-2020,R05,232.58
1100682030,,AC_AJCRASE,CR,1,50019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919569,8784042,24-05-2020,R05,500.19
1100696005,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919558,8784043,24-05-2020,R05,499.00
1100668032,,AC_AJCRASE,CR,1,52926.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919568,8772089,24-05-2020,R05,529.26
1100692003,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919557,8776098,24-05-2020,R05,399.01
1100706003,,AC_AJCRASE,CR,1,58978.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919556,8778089,24-05-2020,R05,589.78
1100677014,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919555,8781044,24-05-2020,R05,499.00
1100677006,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920016,8773057,24-05-2020,R04,499.00
1100698008,,AC_AJCRASE,CR,1,50139.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919930,8771229,24-05-2020,R04,501.39
1100716001,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919929,8771227,24-05-2020,R04,399.01
1100679019,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920203,8781011,24-05-2020,R09,599.00
1100717016,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920373,8770067,24-05-2020,R07,229.00
1100715016,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920367,8775055,24-05-2020,R07,229.00
1100626011,,AC_AJCRASE,CR,1,50019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920180,8769014,24-05-2020,R01,500.19
1100674018,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919526,8771130,24-05-2020,R03,399.01
1100671016,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919525,8771128,24-05-2020,R03,399.01
1100669022,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919524,8777130,24-05-2020,R03,399.01
1100711018,,AC_AJCRASE,CR,1,49801.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920372,8770065,24-05-2020,R07,498.01
1100676034,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919523,8784050,24-05-2020,R03,399.01
1100714016,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920371,8770066,24-05-2020,R07,229.00
1100711016,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920370,8769013,24-05-2020,R07,229.00
1100672013,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919522,8772097,24-05-2020,R03,399.01
